KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,21:30:00,0,Homer Deep,0.057,98.9,9.1,0.1,0.21,1.47,NaN,7.62,-59.6,19.345,5.79
10/14/22,13:45:00,0,Homer Deep,11.882,91.8,8.89,27.93,43.657,1.6,1.188,7.9,-73.9,8.865,5.7
10/16/22,5:30:00,0,Homer Deep,12.152,88.3,8.38,29.21,45.414,2.25,1.184,7.86,-71.6,9.4,5.73
10/18/22,23:45:00,0,Homer Deep,11.361,87.4,8.26,29.78,46.214,1.71,1.192,7.86,-71.6,9.421,5.75
10/20/22,13:00:00,0,Homer Deep,12.365,88.6,8.38,29.94,46.453,1.73,1.187,7.88,-72.7,9.347,5.77
10/24/22,5:45:28,0,Homer Deep,9.367,93.7,9.42,28.02,43.972,4.78,1.196,7.86,-71.3,7.18,5.78
10/26/22,6:45:25,0,Homer Deep,9.697,92.8,9,29.24,45.555,3.37,1.194,7.91,-74.3,8.419,5.79
10/28/22,15:30:26,0,Homer Deep,14.585,93,9.13,29.28,45.672,2.26,1.19,7.92,-74.6,7.881,5.79
10/30/22,1:45:24,0,Homer Deep,9.464,90.8,8.87,29.95,46.607,9.51,1.194,7.89,-73,7.936,5.79
11/6/22,11:15:00,0,Homer Deep,13.383,93.5,9.7,30.07,47.15,3.75,NaN,7.87,-71.7,5.272,4.27
,,,,,,,,,,,,,,
,,,MEAN VALUE:,5.698,94.5,9.26,18.74,29.456,5.37,NaN,NA,-68.3,11.079,5.75
,,,STANDARD DEVIATION:,4.016,3.2,0.27,13.2,20.709,4.55,NaN,0.13,6.2,5.981,0.06
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,21:45:00,0,Homer Deep,0.063,98.9,9.12,0.1,0.21,1.49,NaN,7.62,-59.6,19.306,5.79
10/13/22,9:30:00,0,Homer Deep,9.129,92.4,9.02,27.26,42.732,2.87,1.184,7.9,-74,8.664,5.66
10/29/22,22:30:24,0,Homer Deep,7.903,92.1,9.64,28.86,45.425,11.75,1.188,7.86,-71.3,5.266,5.8
,,,,,,,,,,,,,,
,,,MEAN VALUE:,9.608,92,8.97,27,42.126,3,NaN,NA,-71.9,8.934,5.57
,,,STANDARD DEVIATION:,3.144,2.8,0.5,7.83,12.198,1.88,NaN,0.07,3.7,3.379,0.47
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
